Заказчик,Тендер №,Название тендера,Начальная цена,Дата окончания,Место поставки,Ссылка
"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ КРЫМ ""КРАСНОГВАРДЕЙСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""",85583696,"Поставка системы аспирационной общего назначения, вакуумной для оснащения женской консультации ГБУЗ РК Красногвардейская ЦРБ",—,05.08.2025,"Красногвардейский р-н, Крым республика",https://rostender.info/region/krym-respublika/85583696-tender-postavka-sistemy-aspiracionnoj-obshchego-naznacheniya-vakuumnoj-dlya-osnashcheniya-jenskoj-konsultacii-gbuz-rk-krasnogvardejskaya-crb
"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ И СВЯЗИ""",85583698,"Оказание услуг по адаптивному сопровождению специального программного обеспечения государственной информационной системы Санкт-Петербурга ""Региональный фрагмент единой государственной информационной системы в сфере здравоохранения"" в 2025 году",6 122 947 ₽,19.08.2025,"г. Санкт-Петербург, Санкт-Петербург город",https://rostender.info/region/sankt-peterburg-gorod/85583698-tender-okazanie-uslug-po-adaptivnomu-soprovojdeniyu-specialnogo-programmnogo-obespecheniya-gosudarstvennoj-informacionnoj-sistemy-sankt
МУНИЦИПАЛЬНОЕ ВОДОКАНАЛИЗАЦИОННОЕ ПРЕДПРИЯТИЕ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД ХАНТЫ-МАНСИЙСК,85583697,выполнение работ по реконструкции внутренних сетей электроснабжения КНС,1 601 781 ₽,11.08.2025,"г. Ханты-Мансийск, Ханты-Мансийский Автономный округ - Югра автономный округ",https://rostender.info/region/hanty-mansijskij-avtonomnyj-okrug---yugra-avtonomnyj-okrug/hanty-mansijsk/85583697-tender-vypolnenie-rabot-po-rekonstrukcii-vnutrennih-setej-elektrosnabjeniya-kns
"Акционерное общество ""Инфраструктурные Проекты""",85583695,Запрос технико-коммерческих предложений в рамках мониторинга рынка на закупку техники бытовой для филиала АО Инфраструктурные проекты - Зуевская ТЭС,—,07.08.2025,"г. Зугрэс, Донецкая Народная Республика",https://rostender.info/region/donetskaya-narodnaya-respublika/85583695-tender-zapros-tehniko-kommercheskih-predlojenij-v-ramkah-monitoringa-rynka-na-zakupku-tehniki-bytovoj-dlya-filiala-ao
"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ ДОМ КУЛЬТУРЫ ""ГЖЕЛКА""",85583692,Приобретение ноутбука и МФУ,163 400 ₽,04.08.2025,"г. Раменское, поселок Гжелка, Московская область",https://rostender.info/region/moskovskaya-oblast/ramenskoe/85583692-tender-priobretenie-noutbuka-i-mfu
"ГБОУ РК ""КАРЕЛЬСКИЙ КАДЕТСКИЙ КОРПУС ИМЕНИ АЛЕКСАНДРА НЕВСКОГО""",85583700,поставка учебного оборудования по физике,204 900 ₽,06.08.2025,"г. Петрозаводск, Карелия республика",https://rostender.info/region/kareliya-respublika/petrozavodsk/85583700-tender-postavka-uchebnogo-oborudovaniya-po-fizike
"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""НИЖЕГОРОДСКИЙ ПОЛИТЕХНИЧЕСКИЙ КОЛЛЕДЖ ИМЕНИ ГЕРОЯ СОВЕТСКОГО СОЮЗА РУДНЕВА А.П.""",85583687,Стол ученический,148 680 ₽,03.08.2025,"г. Нижний Новгород, Нижегородская область",https://rostender.info/region/nijegorodskaya-oblast/nijnij-novgorod/85583687-tender-stol-uchenicheskij
"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""ЦЕНТРАЛЬНАЯ ГОРОДСКАЯ БОЛЬНИЦА ГОРОДСКОГО ОКРУГА ""ГОРОД ДАГЕСТАНСКИЕ ОГНИ""",85583699,Светильник операционный,1 484 182 ₽,03.08.2025,"г. Дагестанские Огни, Дагестан республика",https://rostender.info/region/dagestan-respublika/dagestanskie-ogni/85583699-tender-svetilnik-operacionnyj
"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ПРОЕКТНО-СТРОИТЕЛЬНЫЙ ИНСТИТУТ ХАБАРОВСКОГО КРАЯ""",85583694,Поставка системных блоков,—,05.08.2025,"г. Хабаровск, Хабаровский край",https://rostender.info/region/habarovskij-kraj/habarovsk/85583694-tender-postavka-sistemnyh-blokov
-,85583683,Кабели с медной жилой; Трубы кабеленесущие; Метизы; Кабельная арматура,—,11.08.2025,"Санкт-Петербург, Санкт-Петербург город",https://rostender.info/region/sankt-peterburg-gorod/85583683-tender-kabeli-s-mednoj-jiloj-truby-kabelenesushchie-metizy-kabelnaya-armatura
